q_id;q_ch;q_id_ch;language;start_hh;start_min;G1;G2;G3;G4;G5;G6;sex;age;education;nationality;nationality2;occupation;D8;finish_hh;finish_min;character_lang;data_inter;region;type_settl;settlement;Code_inter;macroregion4;urban_rural;age_6gr;WEIGHT
1845;206;8;1;12;8;5;4;5;2;4;3;1;89;3;1;1;8;2;13;13;1;21;23;1;98;7;1;2;6;1,267017892618
1846;206;9;1;13;37;5;2;4;3;3;3;2;73;3;1;1;8;2;14;16;1;23;23;1;98;7;1;2;6;1,116828724712
1847;207;1;1;14;32;5;5;5;4;4;3;1;66;3;1;1;8;2;15;13;1;25;23;1;98;7;1;2;5;,673853362753
1848;207;2;1;15;22;1;2;3;3;2; ;1;55;3;1;1;1;2;16;7;1;25;23;1;98;7;1;2;4;,70609997148
1849;207;3;1;16;15;5;5;5;5;4;3;2;39;3;1;1;1;2;16;56;1;25;23;1;98;7;1;2;2;,74619633505
1850;207;4;1;11;23;1;3;2;4;4;1;1;42;3;1;1;2;2;12;8;1;25;23;1;98;7;1;2;3;1,058721537333
1851;207;5;1;12;16;1;3;3;3;4;2;1;64;3;1;1;8;3;13;0;1;25;23;1;98;7;1;2;5;,673853362753
1852;207;6;1;13;9;1;4;4;4;4;3;1;49;5;1;1;1;2;13;50;1;25;23;1;98;7;1;2;3;1,058721537333
1853;207;7;1;14;6;1;5;5;4;4;3;1;42;3;1;1;1;2;14;43;1;25;23;1;98;7;1;2;3;1,058721537333
1854;207;8;1;15;8;5;4;2;3;4;3;1;72;3;1;1;8;2;15;50;1;25;23;1;98;7;1;2;6;1,267017892618
1855;207;9;1;16;7;1;5;5;5;4;4;2;73;4;1;1;8;2;16;51;1;25;23;1;98;7;1;2;6;1,116828724712
1856;208;1;1;10;48;5;4;5;1;4;3;2;52;6;1;1;4;3;11;26;1;19;23;1;99;2;1;2;4;,586216236375
1857;208;2;1;11;43;1;4;5;5;4;5;2;52;6;1;1;7;3;12;27;1;19;23;1;99;2;1;2;4;,586216236375
1858;208;3;1;12;36;6;4;5;5;4;2;1;52;6;1;1;4;2;13;18;1;19;23;1;99;2;1;2;4;,70609997148
1859;208;4;1;13;35;6;5;5;5;4;5;1;34;3;1;1;2;2;14;18;1;19;23;1;99;2;1;2;2;1,173123968762
1860;208;5;1;14;33;5;5;5;5;4;5;2;88;3;1;1;8;2;15;13;1;19;23;1;99;2;1;2;6;1,116828724712
1861;208;6;1;15;31;1;5;2;2;3;4;2;39;3;1;1;1;2;16;8;1;19;23;1;99;2;1;2;2;,74619633505
1862;208;7;1;11;7;5;4;5;5;4;5;1;56;3;1;1;1;2;11;43;1;19;23;1;99;2;1;2;4;,70609997148
1863;208;8;1;12;6;5;5;5;5;4;3;1;63;4;1;1;8;2;12;42;1;20;23;1;99;2;1;2;5;,673853362753
1864;208;9;1;13;3;5;5;5;5;5;5;1;59;3;1;1;8;2;13;39;1;20;23;1;99;2;1;2;4;,70609997148
1865;209;1;1;14;7;6;5;4;4;4;1;1;50;6;1;1;97;8;14;41;1;24;24;6;100;10;2;1;4;,993800739688
1866;209;2;1;14;45;3;2;5;5;4;2;1;58;8;1;1;3;3;15;20;1;24;24;6;100;10;2;1;4;,993800739688
1867;209;3;2;15;30;6;5;5;5;5;5;2;44;6;1;1;1;3;16;10;3;24;24;6;100;10;2;1;3;1,091806812636
1868;209;4;1;16;24;2;1;3;3;4;3;2;40;8;1;1;3;2;17;8;1;24;24;6;100;10;2;1;3;1,091806812636
1869;209;5;2;17;21;4;2;3;3;3;4;2;58;6;1;1;8;2;17;56;3;24;24;6;100;10;2;1;4;,992483714406
1870;209;6;1;8;53;2;2;4;5;3;3;2;64;8;1;1;8;2;9;32;1;25;24;6;100;10;2;1;5;,61129362135
1871;209;7;1;9;40;4;1;4;4;4;1;1;40;6;1;1;97;8;10;10;1;25;24;6;100;10;2;1;3;1,136160414565
1872;209;8;1;10;33;6;5;3;2;3;3;1;73;2;1;1;8;2;11;31;1;25;24;6;100;10;2;1;6;,93210457848
1873;209;9;1;11;53;6;5;2;2;4;1;2;40;3;1;1;2;1;12;32;1;25;24;6;100;10;2;1;3;1,091806812636
1874;210;1;1;12;6;1;5;4;2;3;4;2;91;3;1;1;8;2;12;52;1;23;24;6;100;10;2;1;6;,640689005197
1875;210;2;1;13;10;5;5;3;5;3;3;1;53;2;1;1;1;2;14;8;1;23;24;6;100;10;2;1;4;,993800739688
1876;210;3;2;14;34;1;3;5;1;4;2;2;54;6;3;2;8;2;15;18;3;23;24;6;100;10;2;1;4;,992483714406
1877;210;4;1;15;35;6;1;4;5;3;4;2;79;2;1;1;8;2;16;15;1;23;24;6;100;10;2;1;6;,640689005197
1878;210;5;4;16;32;6;5;5;5;4;3;2;82;6;1;1;8;1;17;16;2;23;24;6;100;10;2;1;6;,640689005197
1879;210;6;2;9;42;1;3;2;2;4;1;2;58;8;1;1;8;2;10;20;3;24;24;6;100;10;2;1;4;,992483714406
1880;210;7;2;10;30;3;1;3;3;4;2;2;29;8;1;1;3;3;11;1;3;24;24;6;100;10;2;1;1;1,339356702668
1881;210;8;2;11;15;6;5;5;5;2; ;2;82;6;1;1;8;1;11;53;3;24;24;6;100;10;2;1;6;,640689005197
1882;210;9;1;12;9;6;5;5;5;4;1;1;37;7;1;1;2;2;12;40;1;24;24;6;100;10;2;1;2;1,740943942978
1883;211;1;1;11;56;6;1;3;1;4;1;2;61;8;1;1;8;2;12;23;1;17;24;6;100;10;2;1;5;,61129362135
1884;211;2;2;12;31;2;1;1;5;3;3;2;69;8;12; ;8;1;12;54;3;17;24;6;100;10;2;1;5;,61129362135
1885;211;3;1;13;4;6;2;3;5;4;1;1;29;8;1;1;3;2;13;41;1;17;24;6;100;10;2;1;1;1,490956194468
1886;211;4;1;13;55;6;5;3;3;4;2;2;45;6;1;1;2;3;14;32;1;17;24;6;100;10;2;1;3;1,091806812636
1887;211;5;1;14;40;6;5;3;5;4;3;1;50;8;1;1;3;8;15;5;2;17;24;6;100;10;2;1;4;,993800739688
1888;211;6;1;15;42;2;2;3;4;4;3;1;32;8;1;1;3;3;16;10;1;17;24;6;100;10;2;1;2;1,740943942978
1889;211;7;1;16;20;4;2;3;3;4;2;1;63;6;1;1;8;2;17;6;1;17;24;6;100;10;2;1;5;1,078727440585
1890;211;8;2;17;24;1;5;4;4;3;3;1;47;6;3;3;6;2;17;52;3;17;24;6;100;10;2;1;3;1,136160414565
1891;211;9;1;18;6;6;5;5;5;3;3;1;66;6;1;1;8;2;18;45;1;17;24;6;100;10;2;1;5;1,078727440585
1892;212;1;1;9;59;4;1;4;4;4;2;2;46;8;1;1;3;3;10;27;1;17;24;2;101;0;2;1;3;1,091806812636
1893;212;2;1;10;53;1;5;4;1;4;4;2;30;2;1;1;11;2;11;48;1;17;24;2;101;0;2;1;2;,779577719959
1894;212;3;1;11;52;1;1;4;4;4;4;2;76;6;1;1;8;1;12;20;1;17;24;2;101;0;2;1;6;,640689005197
